,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
3242,RT,bull_pamela,36047,36472,6,151840,,,,mpukita,62740,67242,17,68882,,,
3243,RT,Jewel4Trump,20400,19046,17,101398,,,,freenaynow,46932,51280,45,290635,,,
3244,RT,Black_Hedgehog,590,4183,12,43493,,,,BrandNew535,43019,1304,465,7521,,,
3245,RT,DavidWilfand,101,96,0,12269,,,,BrandNew535,43019,1304,465,7521,,,
3246,RT,Kacibelle,890,3312,21,44353,,,,RPat360,1809,1299,55,88325,,,
3247,RT,Residue2020,1951,2770,16,51324,,,,BrandNew535,43019,1304,465,7521,,,
3248,Tweet,jazzyjayed,6,11,0,142,,,,jazzyjayed,43019,1304,465,7521,,,
3249,Tweet,CryptidSloth,3,61,0,21,,,,CryptidSloth,43019,1304,465,7521,,,
3250,RT,scott_longo,29433,25758,4,45576,,,,mpukita,62740,67242,17,68882,,,
3251,Tweet,DieSegenvonWael,249,630,6,8023,,,,DieSegenvonWael,62740,67242,17,68882,,,
3252,RT,nativespecies,23,60,0,787,,,,Clareakelly,26,218,0,428,,,
3253,RT,GorgeousGeorg2,3873,4911,0,38621,,,,Maximus_4EVR,26814,159,68,67184,,,
3254,RT,Billyrisner2,16748,17127,3,81462,,,,mpukita,62740,67242,17,68882,,,
3255,Tweet,Clareakelly,26,218,0,428,,,,Clareakelly,62740,67242,17,68882,,,
3256,RT,Watson_Mystique,11105,11588,6,2556,,,,mpukita,62740,67242,17,68882,,,
3257,RT,DavidEnd4,6177,5741,1,122725,,,,freenaynow,46932,51280,45,290635,,,
3258,RT,qwosl,615,368,5,12566,,,,Dan__Rapaport,87,188,2,1826,,,
3259,Tweet,Dan__Rapaport,87,188,2,1826,,,,Dan__Rapaport,87,188,2,1826,,,
3260,RT,DKWomack,441,1137,27,22313,,,,blysx,9225,9140,509,167170,,,
3261,RT,charlamanesbane,2872,5000,130,57432,,,,blysx,9225,9140,509,167170,,,
3262,RT,camckinnon61,205,296,0,14523,,,,freenaynow,46932,51280,45,290635,,,
3263,RT,blissiport,302,1100,0,8144,,,,freenaynow,46932,51280,45,290635,,,
3264,RT,Luckyamerican12,12183,12086,1,21391,,,,freenaynow,46932,51280,45,290635,,,
3265,RT,CherylH45460946,530,199,1,19823,,,,olyforwarren,1999,4900,9,13144,,,
3266,RT,richmondrquette,932,936,1,8918,,,,shepersists2,941,1271,3,27891,,,
3267,RT,freenaynow,46932,51280,45,290635,,,,freenaynow,46932,51280,45,290635,,,
3268,RT,DenyThemEssence,954,2903,3,25281,,,,CommieAngel,4619,5014,6,16904,,,
3269,RT,kazooareyou,585,2480,2,4606,,,,mikeymileos,1043,802,72,16560,,,
3270,RT,richmondrquette,932,936,1,8918,,,,shepersists2,941,1271,3,27891,,,
3271,RT,LoveMyFLAG2211,2193,2667,1,6673,,,,mpukita,62740,67242,17,68882,,,
3272,RT,abbokey,8586,9445,22,74555,,,,freenaynow,46932,51280,45,290635,,,
3273,Tweet,mettaCA,166,514,4,2048,,,,mettaCA,46932,51280,45,290635,,,
3274,RT,seybird11,391,405,0,18800,,,,freenaynow,46932,51280,45,290635,,,
3275,RT,Rosemar06585176,33980,33307,5,124367,,,,mpukita,62740,67242,17,68882,,,
3276,RT,trumpster451,12855,12746,1,22838,,,,freenaynow,46932,51280,45,290635,,,
3277,Tweet,JustFree2Be,111,82,16,24640,,,,JustFree2Be,46932,51280,45,290635,,,
3278,Tweet,JustFree2Be,111,82,16,24640,,,,JustFree2Be,46932,51280,45,290635,,,
3279,RT,followblanca,364,843,27,4660,,,,blysx,9225,9140,509,167170,,,
3280,Tweet,besoul7,683,3882,16,22716,,,,besoul7,9225,9140,509,167170,,,
3281,RT,aquaricorn,223,1456,2,28951,,,,seth38582378,0,7,0,575,,,
3282,RT,MelissaBirch3,238,478,1,4132,,,,mikeymileos,1043,802,72,16560,,,
3283,Tweet,ChefJennaMcC,3254,4051,2,71877,,,,ChefJennaMcC,1043,802,72,16560,,,
3284,RT,dalatindiva,1782,2338,193,36604,,,,anthonyvclark20,30890,3225,210,6901,,,
3285,Tweet,Belisar05841736,97,149,2,3240,,,,Belisar05841736,30890,3225,210,6901,,,
3286,Tweet,blysx,9225,9140,509,167170,,,,blysx,30890,3225,210,6901,,,
3287,Tweet,WACKNIGHTMARE,186,1321,0,8,,,,WACKNIGHTMARE,30890,3225,210,6901,,,
3288,RT,JayMaga45,50001,47197,28,110724,,,,freenaynow,46932,51280,45,290635,,,
3289,RT,dalatindiva,1782,2338,193,36604,,,,BrandNew535,43019,1304,465,7521,,,
3290,RT,PatriotCat66,21267,15162,0,25264,,,,mpukita,62740,67242,17,68882,,,
3291,Tweet,MAAult,1134,2275,5,53091,,,,MAAult,62740,67242,17,68882,,,
3292,RT,JaeAshleyStewa1,8,63,0,374,,,,mikandynothem,221978,115063,1484,86864,,,
3293,Tweet,SupremeKaiKai,39,256,0,971,,,,SupremeKaiKai,221978,115063,1484,86864,,,
3294,RT,ken_baugh,215,548,0,4060,,,,mpukita,62740,67242,17,68882,,,
3295,RT,JaeAshleyStewa1,8,63,0,374,,,,mikandynothem,221978,115063,1484,86864,,,
3296,RT,GolfingJohn_,7324,697,1,48870,,,,freenaynow,46932,51280,45,290635,,,
3297,RT,ksqueens,141,357,0,1873,,,,JeremyToback,2251,738,20,5522,,,
3298,RT,SuseWilcox,2270,2182,29,9638,,,,DanRodimer,2973,4479,9,357,,,
