A_handle,B_handle,type
FlatEarthExpert,FlatEarthExpert,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
silkdynastystx,silkdynastystx,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
dthallen,dthallen,Tweet
Crunadh,MasterDebateNet,RT
ThatBeardyGamer,ThatBeardyGamer,Tweet
ashoukaFE,ashoukaFE,Tweet
news2health,bg_anon,RT
Constitution_NH,Constitution_NH,Tweet
MEConstitution,Istrianer,RT
MEConstitution,D_P_com,RT
murphyBB_IA,murphyBB_IA,Tweet
WeenieLinguini,D_P_com,RT
WeenieLinguini,alvinbryan21,RT
WeenieLinguini,Tim__OZman,RT
WeenieLinguini,Istrianer,RT
D_P_com,D_P_com,Tweet
alvinbryan21,alvinbryan21,Tweet
CallMeAhmjusAyn,CallMeAhmjusAyn,Tweet
Tim__OZman,Tim__OZman,Tweet
Istrianer,Istrianer,Tweet
NielsVoorbraak,TrustFlatEarth,RT
PhyrigianScale,redpill_beena,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,MasterDebateNet,RT
WeenieLinguini,rrrrgggg6,RT
WeenieLinguini,hopkapital,RT
WeenieLinguini,phy_add,RT
TheOlifant,goofy_1_goofy,RT
UnCastellsMes,UnCastellsMes,Tweet
UnCastellsMes,UnCastellsMes,Tweet
TrustFlatEarth,TrustFlatEarth,Tweet
TibeluthedT,TibeluthedT,Tweet
JadeThunderhoof,mokadoggo,RT
BotSiduri,mokadoggo,RT
BotSiduri,phy_add,RT
BotSiduri,MasterDebateNet,RT
MasterDebateNet,MasterDebateNet,Tweet
UnCastellsMes,UnCastellsMes,Tweet
Kaath_Kilo,mokadoggo,RT
rrrrgggg6,rrrrgggg6,Tweet
Theklassic,flat_earth_fans,RT
schubertiade14,TrustFlatEarth,RT
YaiSor,mokadoggo,RT
hopkapital,hopkapital,Tweet
jon69595,flatearthaddict,RT
phy_add,phy_add,Tweet
HumanBe29882588,IAMAWAKE8,RT
alvinbryan21,alvinbryan21,Tweet
mokadoggo,mokadoggo,Tweet
PrayingElves,Spacehehehe,RT
_messyspace,_messyspace,Tweet
FlatEarthRT,AngelsFreak7,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,remyjsg,RT
WeenieLinguini,MasterDebateNet,RT
WeenieLinguini,goofy_1_goofy,RT
aa121212ss,slayckx,RT
Quercuas,MasterDebateNet,RT
Constitution_NH,Constitution_NH,Tweet
IAMAWAKE8,IAMAWAKE8,Tweet
pp3dp_se,pp3dp_se,Tweet
SpartanPeaceior,flatearthaddict,RT
jimmygunawanapp,memotv,RT
aish20000,sachkesath8,RT
remyjsg,remyjsg,Tweet
HumanBe29882588,AnnleeElisha,RT
PlasmosC,PlasmosC,Tweet
Abdou64533132,TrustFlatEarth,RT
Staff1530,Staff1530,Tweet
Staff1530,Staff1530,Tweet
MasterDebateNet,MasterDebateNet,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
earthisaglobe,earthisaglobe,Tweet
WeenieLinguini,adj_ALLforLOVE,RT
WeenieLinguini,ColonialBarbar,RT
WeenieLinguini,thomafr2,RT
AndrewDibble3,AndrewDibble3,Tweet
adj_ALLforLOVE,adj_ALLforLOVE,Tweet
spotarse,spotarse,Tweet
MashotoKomane,redfirekla,RT
lime_link,AngelsFreak7,RT
Wifizoom,Spacehehehe,RT
parto254,parto254,RT
ColonialBarbar,ColonialBarbar,Tweet
indio007,bg_anon,RT
thomafr2,thomafr2,Tweet
BotSiduri,AngelsFreak7,RT
WeenieLinguini,nowpinion,RT
WeenieLinguini,Janitor_Who,RT
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,Constitution_NH,RT
SamiNawaz8,sachkesath8,RT
nowpinion,nowpinion,Tweet
ilembeleqamanye,TrustFlatEarth,RT
Janitor_Who,Janitor_Who,Tweet
vaerospace,TrustFlatEarth,RT
AngelsFreak7,AngelsFreak7,Tweet
IsNowASlave,TrustFlatEarth,RT
ashoukaFE,slayckx,RT
ArseniKarp,Constitution_NH,RT
ArseniKarp,ColonialBarbar,RT
ArseniKarp,bg_anon,RT
ArseniKarp,GreatMcNate,RT
ArseniKarp,FlatFlix,RT
ArseniKarp,LFnord,RT
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionOR,RT
MEConstitution,ColonialBarbar,RT
MEConstitution,HujumesipeT,RT
Flat67823361,TrustFlatEarth,RT
WeenieLinguini,ColonialBarbar,RT
WeenieLinguini,bg_anon,RT
WeenieLinguini,GreatMcNate,RT
nickschmidt2012,nickschmidt2012,Tweet
BotFoucault,GreatMcNate,RT
redfirekla,redfirekla,Tweet
chrishargas,chrishargas,Tweet
IAMAWAKE8,IAMAWAKE8,Tweet
truthseeker6761,AnnleeElisha,RT
ColonialBarbar,ColonialBarbar,Tweet
TheEart85510282,Spacehehehe,RT
Royal_Time,bg_anon,RT
Royal_Time,FlatFlix,RT
Royal_Time,Spacehehehe,RT
bg_anon,bg_anon,Tweet
GreatMcNate,GreatMcNate,Tweet
FlatFlix,Spacehehehe,RT
san_ce5ar,san_ce5ar,RT
WeenieLinguini,FlatFlix,RT
WeenieLinguini,LFnord,RT
WeenieLinguini,nickschmidt2012,RT
WeenieLinguini,ColonialBarbar,RT
FlatFlix,FlatFlix,Tweet
LogannnnnnnnnWm,AnnleeElisha,RT
BDWFederation,BDWFederation,Tweet
TheEart85510282,slayckx,RT
tribulatedray,Zeallybutton,RT
LFnord,LFnord,Tweet
nickschmidt2012,nickschmidt2012,Tweet
BotSiduri,HujumesipeT,RT
nickschmidt2012,FlatEarthTshirt,RT
LifeCo34475951,flatearthaddict,RT
machirinman,Snake_KGB,RT
indio007,JuliusLynch,RT
ColonialBarbar,ColonialBarbar,Tweet
AnnNeumuller,FrankBLM,RT
isikmoon,TrustFlatEarth,RT
jaredvc,jaredvc,Tweet
WeenieLinguini,BYXONE1,RT
WeenieLinguini,yugxnvibez,RT
WeenieLinguini,HujumesipeT,RT
WeenieLinguini,TheDailyPlane,RT
WeenieLinguini,ilitrit,RT
WeenieLinguini,JuliusLynch,RT
BYXONE1,BYXONE1,Tweet
yugxnvibez,yugxnvibez,Tweet
HujumesipeT,HujumesipeT,Tweet
TheDailyPlane,TheDailyPlane,Tweet
ilitrit,ilitrit,Tweet
SandyKuti,Spacehehehe,RT
FlatEarthRT,KarenWanker,RT
JuliusLynch,JuliusLynch,Tweet
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionNd,Tweet
MEConstitution,san_ce5ar,RT
MEConstitution,MiringuNjoroge,RT
donaldh66287394,AenesidemusOZ,RT
Anna_Leigh1111,DenzilDamon,RT
bg_anon,bg_anon,Tweet
Firemonkey991,AenesidemusOZ,RT
SulleyTruman,TrustFlatEarth,RT
KarenWanker,KarenWanker,Tweet
MiringuNjoroge,MiringuNjoroge,Tweet
san_ce5ar,san_ce5ar,Tweet
WareesAhmad4,sachkesath8,RT
flatearthaddict,flatearthaddict,Tweet
WeenieLinguini,glover_is,RT
WeenieLinguini,AnnleeElisha,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,TrustFlatEarth,RT
Magagog,MrMattyMoses,RT
Magagog,DockEllisNoNo,RT
Magagog,FLaTderp420,RT
Magagog,1FlatEarth,RT
CallMeEOnly,CallMeEOnly,Tweet
alienastromusic,wolfmanmike47,RT
AnnleeElisha,FlatEarthTshirt,RT
true_flatearth,DSL1912,RT
glover_is,glover_is,Tweet
Qin2it,Qin2it,Tweet
irfanahmed1962,hollyhaygood,RT
slayckx,slayckx,Tweet
AnnleeElisha,AnnleeElisha,Tweet
TibeluthedT,TibeluthedT,Tweet
TrustFlatEarth,TrustFlatEarth,Tweet
slayckx,slayckx,Tweet
BotSiduri,Bossy_MsJ,RT
BotSiduri,sachkesath8,RT
slayckx,slayckx,Tweet
WeenieLinguini,sachkesath8,RT
WeenieLinguini,Bossy_MsJ,RT
WeenieLinguini,DAPFpodcast,RT
WeenieLinguini,wolfmanmike47,RT
WeenieLinguini,RobbieSherwood,RT
WeenieLinguini,Constitution_NH,RT
sachkesath8,sachkesath8,Tweet
JesusisGod1214,TrustFlatEarth,RT
AdFreeTalkRadio,DAPFpodcast,RT
awakeningMan,wolfmanmike47,RT
Bossy_MsJ,Bossy_MsJ,Tweet
news2health,TrustFlatEarth,RT
FlatEarthRT,DAPFpodcast,RT
FlatEarthRT,DAPFpodcast,RT
DAPFpodcast,DAPFpodcast,Tweet
wolfmanmike47,wolfmanmike47,Tweet
Mrs00Clean001,Mrs00Clean001,Tweet
ninjashoes,ninjashoes,RT
news2health,EFT_Seattle,RT
RobbieSherwood,RobbieSherwood,Tweet
WilliamRCamero1,TrustFlatEarth,RT
Constitution_NH,Constitution_NH,Tweet
MEConstitution,SeketricBarnes,RT
MEConstitution,DAPFpodcast,RT
MEConstitution,HujumesipeT,RT
philipcase_usmc,baddad6690,RT
DAPFpodcast,DAPFpodcast,Tweet
Thor_52,Snake_KGB,RT
Genverbrander10,FrankBLM,RT
WeenieLinguini,101kfe_id,RT
WeenieLinguini,LFnord,RT
WeenieLinguini,SasaCzar,RT
101kfe_id,101kfe_id,Tweet
SeketricBarnes,SeketricBarnes,Tweet
Frequen15309040,phy_add,RT
SlightlyInsult,SlightlyInsult,Tweet
baddad6690,baddad6690,Tweet
MacLovin87,FrankBLM,RT
Terraplanito,Terraplanito,Tweet
hollyhaygood,hollyhaygood,Tweet
LFnord,LFnord,Tweet
hollyhaygood,hollyhaygood,Tweet
SasaCzar,SasaCzar,Tweet
Royal_Time,EFT_Seattle,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,DavesTerraPlana,RT
WeenieLinguini,TrustFlatEarth,RT
WeenieLinguini,TrustFlatEarth,RT
WeenieLinguini,ericarios73,RT
WeenieLinguini,AmDigitalNews,RT
TibeluthedT,TibeluthedT,Tweet
DavesTerraPlana,DavesTerraPlana,Tweet
BotSiduri,Constitution_NH,RT
BotSiduri,ElLesci,RT
BotSiduri,AmDigitalNews,RT
BotSiduri,ericarios73,RT
BotSiduri,TrustFlatEarth,RT
BotSiduri,HujumesipeT,RT
TrustFlatEarth,TrustFlatEarth,Tweet
uCrazyDiamonds,EFT_Seattle,RT
TrustFlatEarth,TrustFlatEarth,Tweet
uCrazyDiamonds,EFT_Seattle,RT
ericarios73,ericarios73,Tweet
spotarse,spotarse,Tweet
Thor_52,Thor_52,Tweet
AmDigitalNews,AmDigitalNews,Tweet
HujumesipeT,HujumesipeT,Tweet
CallMeEOnly,CallMeEOnly,Tweet
ElLesci,ElLesci,Tweet
jayhazy23,jayhazy23,Tweet
Constitution_NH,Constitution_NH,Tweet
Constitution_NE,hollyhaygood,RT
MI_Constitution,MI_Constitution,Tweet
MEConstitution,TakingTheAsk,RT
MEConstitution,hollyhaygood,RT
WeenieLinguini,DenzilDamon,RT
WeenieLinguini,TakingTheAsk,RT
WeenieLinguini,Janitor_Who,RT
WeenieLinguini,SplinterSimba,RT
WeenieLinguini,phy_add,RT
DenzilDamon,DenzilDamon,Tweet
TakingTheAsk,TakingTheAsk,Tweet
AngWalker9,itsFlat5,RT
halboyee,Thor_52,RT
Janitor_Who,Janitor_Who,Tweet
SplinterSimba,SplinterSimba,Tweet
baaaaayK,Spacehehehe,RT
phy_add,phy_add,Tweet
spotarse,spotarse,Tweet
SmokeBreakMusic,SmokeBreakMusic,Tweet
pjvanerp,FrankBLM,RT
AlarconSofiia,AlarconSofiia,Tweet
FrankBLM,FrankBLM,Tweet
alimafacan,hopkapital,RT
2911Warrior,2911Warrior,Tweet
alimafacan,hopkapital,RT
Jimmer03151608,AndrewDibble3,RT
Jimmer03151608,Spacehehehe,RT
KingOfNerds666,KingOfNerds666,Tweet
jkhunt84_hunt,jkhunt84_hunt,Tweet
Shinto_Nephilim,Shinto_Nephilim,Tweet
TibeluthedT,TibeluthedT,Tweet
JustWakeUp8,FlatEarthTshirt,RT
phy_add,phy_add,Tweet
BotSiduri,hollyhaygood,RT
YAvdeew,BadAstronomer,RT
stevec54,stevec54,Tweet
Tedsrobot,Spacehehehe,RT
Thor_52,Thor_52,RT
Thor_52,Thor_52,Tweet
jaredvc,jaredvc,Tweet
LifeIsSpiritua1,LifeIsSpiritua1,Tweet
jaredvc,jaredvc,Tweet
billBel80925644,Spacehehehe,RT
ibebruce7,phy_add,RT
LsdLab,LsdLab,Tweet
srcarrete,srcarrete,Tweet
FlatEarthRT,DAPFpodcast,RT
FlatEarthGinger,hollyhaygood,RT
Terraplanito,Terraplanito,Tweet
hollyhaygood,hollyhaygood,Tweet
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,ConstitutionNd,RT
WeenieLinguini,DAPFpodcast,RT
WeenieLinguini,bg_anon,RT
WeenieLinguini,ImplantDetected,RT
WeenieLinguini,kssdhr,RT
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionNd,Tweet
MEConstitution,parto254,RT
MEConstitution,phy_add,RT
MEConstitution,DAPFpodcast,RT
MEConstitution,HujumesipeT,RT
AdFreeTalkRadio,DAPFpodcast,RT
bg_anon,bg_anon,Tweet
BrooklynFitChik,DAPFpodcast,RT
DAPFpodcast,DAPFpodcast,Tweet
bg_anon,bg_anon,Tweet
ImplantDetected,ImplantDetected,Tweet
kssdhr,kssdhr,Tweet
BadIdeasPodcast,DAPFpodcast,RT
phy_add,phy_add,Tweet
IEAffiliate,IEAffiliate,Tweet
IEAffiliate,IEAffiliate,Tweet
IEAffiliate,IEAffiliate,Tweet
EFT_Seattle,EFT_Seattle,RT
EFT_Seattle,EFT_Seattle,Tweet
parto254,parto254,Tweet
ethan__tyson,ethan__tyson,Tweet
UnCastellsMes,UnCastellsMes,Tweet
WeenieLinguini,Kompadontgiveup,RT
WeenieLinguini,KoenvanderEng,RT
WeenieLinguini,TibeluthedT,RT
stevengerrard03,stevengerrard03,Tweet
onbirincikoyden,degimli42,RT
Kompadontgiveup,Kompadontgiveup,Tweet
sleddriver73,p_golinski,RT
KoenvanderEng,KoenvanderEng,Tweet
TibeluthedT,TibeluthedT,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
BotSiduri,TakingTheAsk,RT
BotSiduri,HujumesipeT,RT
ufuk1299,degimli42,RT
Kumquat_sk,Kumquat_sk,Tweet
GeolodiaAvila,GeologicalMan,RT
FatihDo60776969,SabitDunya,RT
AlexBellavista_,Spacehehehe,RT
WeenieLinguini,TakingTheAsk,RT
WeenieLinguini,ElenaBessman,RT
WeenieLinguini,HujumesipeT,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,GeologicalMan,RT
TakingTheAsk,TakingTheAsk,Tweet
ElenaBessman,ElenaBessman,Tweet
HujumesipeT,HujumesipeT,Tweet
FlatEarthRT,DAPFpodcast,RT
FlatEarthRT,AngelsFreak7,RT
chris_is_oecher,chris_is_oecher,Tweet
mzsassy74,Spacehehehe,RT
imacflatoutwide,RomaRobbie,RT
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionOR,RT
MEConstitution,DAPFpodcast,RT
MEConstitution,AngelsFreak7,RT
MEConstitution,CompaniesMoab,RT
MEConstitution,GeologicalMan,RT
Kworantine,FlatEarthTshirt,RT
AdFreeTalkRadio,AngelsFreak7,RT
AdFreeTalkRadio,DAPFpodcast,RT
MccarthydoDave,Spacehehehe,RT
SimonGr41594862,SimonGr41594862,Tweet
GeologicalMan,GeologicalMan,Tweet
GeologicalMan,DanielHernBar,RT
CompaniesMoab,CompaniesMoab,Tweet
AngelsFreak7,AngelsFreak7,Tweet
ReasonsAre,DAPFpodcast,RT
DAPFpodcast,DAPFpodcast,Tweet
Mario14187980,Spacehehehe,RT
GTBighair1,GTBighair1,Tweet
WeenieLinguini,FlatHolland,RT
WeenieLinguini,pabloocodes,RT
WeenieLinguini,dabba_official,RT
WeenieLinguini,TibeluthedT,RT
FlatHolland,FlatHolland,Tweet
HumanityWake,HumanityWake,Tweet
parto254,parto254,Tweet
pabloocodes,pabloocodes,Tweet
PhillipTkm421,goofy_1_goofy,RT
santhonysays,DAPFpodcast,RT
chris_is_oecher,chris_is_oecher,Tweet
Captainswoop1,Luma923,RT
Mello3Philip,Russianvids11,RT
dabba_official,dabba_official,Tweet
TehShonk,NickEirino,RT
MAK7PIA,MAK7PIA,Tweet
TibeluthedT,TibeluthedT,Tweet
TheEart85510282,FlatFlix,RT
BotSiduri,DanielHernBar,RT
BotSiduri,bessiehyde,RT
WeenieLinguini,A_Rauso,RT
WeenieLinguini,bessiehyde,RT
WeenieLinguini,Quercuas,RT
WeenieLinguini,DanielHernBar,RT
WeenieLinguini,ConstitutionOR,RT
WeenieLinguini,Constitution_NH,RT
A_Rauso,A_Rauso,Tweet
AndrewDibble3,AndrewDibble3,Tweet
FlamFreight,NickEirino,RT
FlatEarthRT,TheDailyPlane,RT
bessiehyde,bessiehyde,Tweet
Quercuas,Quercuas,Tweet
AmDigitalNews,AmDigitalNews,Tweet
ebru978,degimli42,RT
DanielHernBar,DanielHernBar,Tweet
Quercuas,Quercuas,Tweet
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
Constitution_NH,Constitution_NH,Tweet
Constitution_NH,D_P_com,RT
Constitution_NH,DSL1912,RT
ConstitutionNd,ConstitutionNd,Tweet
MEConstitution,A_Rauso,RT
MEConstitution,compassionKarm1,RT
MEConstitution,HujumesipeT,RT
MEConstitution,DSL1912,RT
Flat67823361,Spacehehehe,RT
timet0unite,timet0unite,Tweet
compassionKarm1,compassionKarm1,Tweet
Wifizoom,Wifizoom,Tweet
pb4urnmys,Spacehehehe,RT
_aletoscano,_aletoscano,Tweet
WeenieLinguini,TheDailyPlane,RT
WeenieLinguini,A_Rauso,RT
WeenieLinguini,jonah_Scientist,RT
WeenieLinguini,vaerospace,RT
WeenieLinguini,flatearth_fact,RT
WeenieLinguini,TheForceTR,RT
TheDailyPlane,TheDailyPlane,Tweet
A_Rauso,A_Rauso,Tweet
EFT_Seattle,Spacehehehe,RT
jonah_Scientist,jonah_Scientist,Tweet
wolfmanmike47,wolfmanmike47,Tweet
vaerospace,vaerospace,Tweet
AmandaJoeMille1,Spacehehehe,RT
AmandaJoeMille1,rrrrgggg6,RT
AmandaJoeMille1,flatearth_fact,RT
AmandaJoeMille1,flat_earth_fans,RT
flatearth_fact,flatearth_fact,Tweet
recycle__bin,rrrrgggg6,RT
TheForceTR,TheForceTR,Tweet
RForRequiemEUW,Spacehehehe,RT
jonah_Scientist,USMCNoggin,RT
jonah_Scientist,DirtyRandell,RT
rrrrgggg6,rrrrgggg6,Tweet
FlatEarthCity,FlatEarthCity,Tweet
BrianSStaveley,BrianSStaveley,Tweet
PrRejpal,PrRejpal,Tweet
ExponieLaVerdad,_FlatEarthFC_,RT
CharishThis,rrrrgggg6,RT
PlatEurth,degimli42,RT
WeenieLinguini,Thereason_2,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,Thereason_2,RT
WeenieLinguini,flatearth_fact,RT
EisF7,EisF7,Tweet
WeenieLinguini,Janitor_Who,RT
fco2312,NabbuBlog,RT
NabbuBlog,NabbuBlog,Tweet
NabbuBlog,fco2312,RT
fco2312,fco2312,Tweet
Thereason_2,Thereason_2,Tweet
TibeluthedT,TibeluthedT,Tweet
Thereason_2,Thereason_2,Tweet
BotSiduri,goodbonds1,RT
BotSiduri,Snake_KGB,RT
BotSiduri,MrTBurgess,RT
BotSiduri,fluctibus,RT
BotSiduri,HujumesipeT,RT
SusanMarieDalt2,flat_earth_fans,RT
flatearth_fact,flatearth_fact,Tweet
honater,degimli42,RT
Podstalgic,DAPFpodcast,RT
Janitor_Who,Janitor_Who,Tweet
fluctibus,fluctibus,Tweet
i_am_flatrick,i_am_flatrick,Tweet
MrTBurgess,MrTBurgess,Tweet
Snake_KGB,Snake_KGB,Tweet
flatearth_fact,flatearth_fact,Tweet
IEAffiliate,IEAffiliate,Tweet
HujumesipeT,HujumesipeT,Tweet
DeGePhotos,Massengeschmack,RT
JulieOssmann,Spacehehehe,RT
BadIdeasPodcast,DAPFpodcast,RT
D_P_com,D_P_com,Tweet
parto254,DSL1912,RT
subolivia,Spacehehehe,RT
akrepkral0690,degimli42,RT
Terraplanito,Terraplanito,Tweet
DSL1912,DSL1912,Tweet
Constitution_NH,Constitution_NH,Tweet
WeenieLinguini,IAMAWAKE8,RT
WeenieLinguini,flatearth_fact,RT
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,flat_earth_fans,RT
MEConstitution,AngelsFreak7,RT
WeenieLinguini,Ergo_Liculmno,RT
MEConstitution,HujumesipeT,RT
WeenieLinguini,DAPFpodcast,RT
IAMAWAKE8,IAMAWAKE8,Tweet
Seed_magda,_FlatEarthFC_,RT
Seed_magda,_FlatEarthFC_,RT
Seed_magda,_FlatEarthFC_,RT
Seed_magda,_FlatEarthFC_,RT
MrRetweeterrrr,flatearth_fact,RT
santicalde,_FlatEarthFC_,RT
flatearth_fact,flatearth_fact,Tweet
LOCRMUWO,_FlatEarthFC_,RT
LOCRMUWO,_FlatEarthFC_,RT
LOCRMUWO,_FlatEarthFC_,RT
LOCRMUWO,_FlatEarthFC_,RT
AngelsFreak7,AngelsFreak7,Tweet
cbpunk1,cbpunk1,Tweet
flat_earth_fans,flat_earth_fans,Tweet
Ergo_Liculmno,Ergo_Liculmno,Tweet
AdFreeTalkRadio,DAPFpodcast,RT
TRENTSTEELE1,TRENTSTEELE1,Tweet
hugh_bothwell,hugh_bothwell,Tweet
DAPFpodcast,DAPFpodcast,Tweet
the_x_lady,Spacehehehe,RT
NabbuBlog,fco2312,RT
gjvbf2,Wifizoom,RT
gjvbf2,EisF7,RT
WeenieLinguini,hopkapital,RT
WeenieLinguini,goodbonds1,RT
WeenieLinguini,hopkapital,RT
WeenieLinguini,Spacehehehe,RT
HumanityWake,HumanityWake,Tweet
CarlollC,JohnAnd28692892,RT
sedricj,FlatEarthTshirt,RT
BlissIntense,Spacehehehe,RT
flashgordon_33,Spacehehehe,RT
hopkapital,hopkapital,Tweet
C_Guendelman,Spacehehehe,RT
goodbonds1,goodbonds1,Tweet
Aline36659579,Spacehehehe,RT
Micheleferrisfr,Spacehehehe,RT
FlatEarthReal2,Spacehehehe,RT
Quercuas,Quercuas,Tweet
hopkapital,hopkapital,Tweet
HappyBigGrin,Spacehehehe,RT
Spacehehehe,Spacehehehe,Tweet
EisF7,EisF7,Tweet
BadIdeasPodcast,DAPFpodcast,RT
TibeluthedT,TibeluthedT,Tweet
BadIdeasPodcast,DAPFpodcast,RT
FlatEarthExpert,FlatEarthExpert,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
SophiaSiduri,SophiaSiduri,Tweet
JohnAnd28692892,JohnAnd28692892,RT
BotSiduri,HujumesipeT,RT
mlooks,Massengeschmack,RT
fernsehkritiktv,Massengeschmack,RT
Massengeschmack,Massengeschmack,Tweet
hopkapital,hopkapital,Tweet
DewottDr,paul_winginit,RT
paul_winginit,paul_winginit,Tweet
HujumesipeT,HujumesipeT,Tweet
WeenieLinguini,DenzilDamon,RT
WeenieLinguini,degimli42,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,angelsarehere88,RT
WeenieLinguini,TruthRtc,RT
TheEart85510282,harmayani_fe,RT
cahilcuhella,degimli42,RT
DenzilDamon,DenzilDamon,Tweet
degimli42,degimli42,Tweet
Constitution_NH,Constitution_NH,Tweet
MEConstitution,NewsGizzy,RT
MEConstitution,TruthRtc,RT
MEConstitution,angelsarehere88,RT
MEConstitution,HujumesipeT,RT
weronikaszubarg,weronikaszubarg,Tweet
TheEart85510282,ABurdiez,RT
angelsarehere88,angelsarehere88,Tweet
Atkinsondotdk,paulAFOL77,RT
AndrewDibble3,AndrewDibble3,Tweet
moonlightcoming,Fati06250124,RT
bandto89,HumanityWake,RT
TruthRtc,TruthRtc,Tweet
Angeljmingo,_FlatEarthFC_,RT
WeenieLinguini,NewsGizzy,RT
RomaRobbie,RomaRobbie,Tweet
PrayingElves,FlatFlix,RT
NewsGizzy,NewsGizzy,Tweet
LindaAusten6,Spacehehehe,RT
HyperBrick,paulAFOL77,RT
misstea144,Spacehehehe,RT
Flat67823361,Russianvids11,RT
BotSiduri,HujumesipeT,RT
Balon_Tierra,_FlatEarthFC_,RT
D_P_com,USMCNoggin,RT
WeenieLinguini,HujumesipeT,RT
WeenieLinguini,_FlatEarthFC_,RT
WeenieLinguini,_FlatEarthFC_,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,FlatEarthTshirt,RT
WeenieLinguini,p_golinski,RT
fastenseat,fastenseat,Tweet
JoxeCoral,_FlatEarthFC_,RT
JoxeCoral,_FlatEarthFC_,RT
JoxeCoral,_FlatEarthFC_,RT
JoxeCoral,_FlatEarthFC_,RT
Marifowl,_FlatEarthFC_,RT
Marifowl,_FlatEarthFC_,RT
Marifowl,_FlatEarthFC_,RT
Marifowl,_FlatEarthFC_,RT
hodzic_zlatko,TRWLI,RT
_FlatEarthFC_,_FlatEarthFC_,Tweet
HujumesipeT,HujumesipeT,Tweet
FlatEarthRT,FlatEarthTshirt,RT
_FlatEarthFC_,_FlatEarthFC_,Tweet
_FlatEarthFC_,_FlatEarthFC_,Tweet
_FlatEarthFC_,_FlatEarthFC_,Tweet
AustralisPiper,p_golinski,RT
4h6r4kpf,FlatEarthTshirt,RT
Constitution_NH,Constitution_NH,Tweet
FlatEarthTshirt,FlatEarthTshirt,Tweet
MEConstitution,Nabunocosor,RT
MEConstitution,phy_add,RT
MEConstitution,phy_add,RT
MEConstitution,HujumesipeT,RT
p_golinski,p_golinski,Tweet
phy_add,phy_add,Tweet
WeenieLinguini,Nabunocosor,RT
phy_add,phy_add,Tweet
FEarthTruth,FlatFlix,RT
Nabunocosor,Nabunocosor,Tweet
AndrewDibble3,Spacehehehe,RT
hackfox52,hackfox52,Tweet
genna65,TrustFlatEarth,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,goofy_1_goofy,RT
WeenieLinguini,thelogosmith,RT
WeenieLinguini,HujumesipeT,RT
TibeluthedT,TibeluthedT,Tweet
lime_link,AngelsFreak7,RT
BotSiduri,HujumesipeT,RT
goofy_1_goofy,goofy_1_goofy,Tweet
marsmanidiot,marsmanidiot,Tweet
CCinemaPodcast,AngelsFreak7,RT
fnapolitano_com,thelogosmith,RT
thelogosmith,thelogosmith,Tweet
goofy2goofy1,goofy2goofy1,Tweet
HujumesipeT,HujumesipeT,Tweet
jaredvc,jaredvc,Tweet
FlatEarthRT,AngelsFreak7,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,rrrrgggg6,RT
WeenieLinguini,Janitor_Who,RT
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,KaiserWheelhelm,RT
Wolfy_one,Wifizoom,RT
goofy_1_goofy,goofy_1_goofy,Tweet
kevinoneill14,TRWLI,RT
AdFreeTalkRadio,AngelsFreak7,RT
Constitution_NH,Constitution_NH,Tweet
parto254,Spacehehehe,RT
ConstitutionNd,ConstitutionOR,RT
MEConstitution,AngelsFreak7,RT
MEConstitution,HujumesipeT,RT
rrrrgggg6,rrrrgggg6,Tweet
partyarty58,BenSonicz,RT
Janitor_Who,Janitor_Who,Tweet
AngelsFreak7,AngelsFreak7,Tweet
Royal_Time,TrustFlatEarth,RT
KaiserWheelhelm,KaiserWheelhelm,Tweet
juve_hilaly,Wifizoom,RT
ArseniKarp,TrustFlatEarth,RT
ArseniKarp,FlatFlix,RT
ArseniKarp,san_ce5ar,RT
ArseniKarp,metatron_jurney,RT
ArseniKarp,danibananihani,RT
ArseniKarp,ImplantDetected,RT
vnmz5Nvfsai4z54,TRWLI,RT
Magagog,ImplantDetected,RT
