,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
261,RT,ElizabethAKear2,1094,1872,1,59260,,,,BarbMcQuade,305362,1000,1495,3476,,,
262,RT,arbyferris,956,197,4,77733,,,,emptywheel,220601,4308,4869,271462,,,
263,RT,Megawatts55,14493,12161,11,97230,,,,emptywheel,220601,4308,4869,271462,,,
264,RT,bruinsfan197,302,1388,0,127829,,,,emptywheel,220601,4308,4869,271462,,,
265,RT,icryforUSA,33,308,0,8016,,,,emptywheel,220601,4308,4869,271462,,,
266,RT,orchidlady303,281,603,7,184125,,,,emptywheel,220601,4308,4869,271462,,,
267,RT,Kimberly_FedUp,11480,11665,0,22125,,,,GoblinSparky,5,51,0,373,,,
268,Tweet,EmilieSantana6,1263,1887,0,4648,,,,EmilieSantana6,5,51,0,373,,,
269,RT,xuxah123,47,146,0,4620,,,,Mimirocah1,388492,2536,2160,12984,,,
270,RT,stickymic5,326,75,0,71064,,,,emptywheel,220601,4308,4869,271462,,,
271,RT,rebellegrrl,12651,12840,66,420183,,,,emptywheel,220601,4308,4869,271462,,,
272,RT,ad_gent2012,5833,5895,2,8709,,,,Mimirocah1,388492,2536,2160,12984,,,
273,RT,kymburleigh,125,130,0,58161,,,,emptywheel,220601,4308,4869,271462,,,
274,RT,4tybin,2149,2780,5,205727,,,,emptywheel,220601,4308,4869,271462,,,
275,RT,iunderstoodu,587,1360,12,31758,,,,emptywheel,220601,4308,4869,271462,,,
276,RT,AliceRiversong,1262,1689,1,68511,,,,emptywheel,220601,4308,4869,271462,,,
